English       Nepali
SUV           एसयुभी
BMX           बिएमएक्स
ATV           एटीभी
ATVs          एटीभीहरू
Aquos         एक्वोस
ADHD          एडीएचडी
bmxer         बिएमएक्स सवार
Macintosh     म्याकिन्टोश
Penzance      पेन्जान्स
Frisbee       फ्रिस्बी
VW            भिडब्ल्यू
dreadlocks    ड्रेडलक्स
Kisscostumed  किस्कोस्ट्युम्ड
frolics       रमाइलो
Ivars         इभार्स
Weirmeiner    वेइर्मेइनर
tbar          टीबार
gazebo        गजेबो
Kayacker      कयाकर
Foosball      फुसबल
Egytian       इजिप्शियन
NASCAR        नास्कार
Kildare       किल्डेयर
nuzzling      नजिक आउने
Vuitton       भुइटन
Lassie        लासी
Dalmatians    डाल्मेटियन
Tball         टीबल
Rottweiler    रोटवेलर
Applebee      एप्पलबी
Dave          डेभ
Buster        बस्टर
PUMA          पुमा
Remax         रिम्याक्स
Sooners       सूनर्स
Dachshund     ड्याक्सहुन्ड
tugofwar      टग अफ वार
parasurfer    प्यारासर्फर
samll         सानो
RV            आरभी
Sheltie       शेल्टी
PNC           पिएनसी
hulahoops     हुलाहुप्स
Muzzled       मुजल्ड
greyhounds    ग्रेहाउन्ड्स
Longhorns     लोङहर्न्स
leapfrog      लीपफ्रोग
frolicking    रमाइलो गर्दै
GI            जीआई
frisbees      फ्रिस्बीहरू
BMW           बिएमडब्ल्यू
ZARA          जारा
Budweisers    बडवाइजर्स
Ruggers       रगर्स
NFL           एनएफएल
prarie        प्रेरी
EASTPAK       इस्टप्याक
Minivan       मिनिभ्यान
Odeon         ओडियन
wmoan         रुनु
Abarrotes     अबारोट्स
tychy         टाइची
miasto        मियास्टो
AstroTurf     एस्ट्रोटर्फ
SMU           एसएमयू
abs           एब्स
wii           वाई
Uno           युनो
Dalmation     डाल्मेटियन
glvoes        ग्लोभ्स
torsodeep     टोर्सोडीप
ZCHTV         जेडसिएचटिभी
Racedog       रेसडग
bicyler       साइकल
Weimeraners   वेइर्मेइनर्स
Tyedyed       टाइडाइड
Ktwo          केटू
Twho          ट्व्हो
CocaCola      कोकाकोला
mpthree       एमपीथ्री
trampoline    ट्राम्पोलिन
osme          केही
avrovulcancom एभ्रोभल्कनकम
TEAM          टीम
PENSKE        पेन्स्के
hte           एचटीई
HDR           एचडीआर
LaFayette     लाफायेट
Twp           टीडब्ल्यूपी
xmen          एक्समेन
allterrain    सबै इलाका
VFW           भिडब्ल्यूएफ
zig           जिग
zagging       ज्यागिङ
pepco         पेप्को
MMA           एमएमए
Iove          माया
giong         जाँदै
HP            एचपी
Mutltiple     धेरै
Panasonic     पानासोनिक
Ghostbusters  गोस्टबस्टर्स
ee            ईई
labradoodle   ल्याब्राडूडल
Cobblestone   कबलस्टोन
IMPEACH       महाभियोग
FedEx         फेडएक्स
AVEDA         एभेदा
reenactors    पुनर्निर्माणकर्ता
ACE           एसीई
Slurpees      स्लर्पीज
Dalmatian     डाल्मेटियन
