English           Nepali
Uno               युनो
UNO               युनो
bmx               बिएमएक्स
Dalmation         डाल्मेटियन
dalmation         डाल्मेटियन
Dalmation         डाल्मेटियन
NY                एनवाई
Giants            जायन्ट्स
pajamas           पजामा
Carhartt          कारहार्ट
ATV               एटीभी
Ballerinas        ब्यालेरिनास
glvoes            ग्लोभ्स
Uno               युनो
torsodeep         टोर्सोडीप
ZCHTV             जेडसिएचटिभी
Racedog           रेसडग
Asianthemed       एसियन थीम्ड
saxaphone         स्याक्सफोन
bicyler           साइकल
bmx               बिएमएक्स
Weimeraners       वेइर्मेइनर्स
SUV               एसयुभी
PVC               पिभीसी
Utah              युटाह
GNU               जिएनयू
gnu               जिएनयू
BMW               बिएमडब्ल्यू
LMMVSD            एलएमएमभीएसडी
UCLA              युसिएलए
Tyedyed           टाइडाइड
k                 के
Machinists        म्याकिनिस्ट्स
Ziploc            जिपलक
Cheerios          चिरियोस
CocaCola          कोकाकोला
ING               आइएनजी
PEOPLE            पिपल
NYC               एनवाईसी
CYCLE             साइकल
Notre             नोट्रे
Dame              डेम
Muzzled           मुजल्ड
greyhounds        ग्रेहाउन्ड्स
Ikea              इकिया
vespa             भेस्पा
rd                आरडी
St                स्ट
UPS               यूपिएस
inflatable        इन्फ्लेटेबल
Asus              एसस
VAIO              भिएओ
ge                जिए
Pshaped           पी आकार
P                 पी
osme              केही
Gazebo            गजेबो
cello             सेलो
Sorvete           सोर्भेट
e                 इ
Gelados           गेलाडोस
Nicolau           निकोलाउ
Sorvette          सोर्भेट
Tyedye            टाइडाइ
MerrygoRound      मेरीगोराउन्ड
breadbuttercheesevictory ब्रेडबटरचिज विजय
hs                एचएस
hte               एचटीई
blueeyed          निलो आँखा
Dbacks            डीब्याक्स
toshiba           टोशिबा
woks              वोक्स
G                 जी
Unit              युनिट
pk                पिए
UFC               युएफसी
MMA               एमएमए
nt                एनटी
Bilbo             बिल्बो
Baggins           ब्यागिन्स
accordion         अकर्डियन
cal               क्याल
MC                एमसी
allterrain        सबै इलाका
busking           बस्किङ
ROTC              आरओटीसी
WC                डब्ल्यूसी
YMCA              वायएमसीए
FROG              फ्रग
TAMA              टामा
gerbil            जर्बिल
HR                एचआर
Block             ब्लक
nd                एनडी
Mavic             माभिक
Reescom           रिसकम
fondue            फन्डु
Xylophonists      जाइलोफोनिस्ट्स
shh               श्श्
shhh              श्श्श्
ROXX              रक्स
passerbys         पासर्बाइज
Roxx              रक्स
Coed              कोएड
El                एल
Triuneo           ट्रियुनिओ
zipfront          जिपफ्रन्ट
paisley           पेस्ली
Buscouk           बस्कोक
loveseat          लभसिट
Saw               स
ROCKS             रक्स
danging           ड्यान्सिङ
GLAM              ग्ल्याम
WIKI              विकी
GlamWiki          ग्ल्यामविकी
Tavern            टाभर्न
Vira              भिरा
Virou             भिरौ
ApplestoApples    एपल्स टु एपल्स
ScoobyDoo         स्कूबी डू
suv               एसयुभी
Cantaloupes       क्यान्टालूप्स
chaparral         चापराल
LOreal            लोरियल
SWAT              स्वाट
SPFD              एसपिएफडी
GDSD              जीडिएसडी
Frisbee           फ्रिस्बी
Best              बेस्ट
Buy               बाय
cosplayers        कस्प्लेयर्स
Pabst             पाब्स्ट
Someone           समवन
djembe            जेम्बे
C                 सी
sparring          स्प्यारिङ
refworkss         रेफवर्क्स
cOS               सीओएस
VHS               भिएचएस
Knotts            नट्स
Berry             बेरी
Farm              फार्म
Vneck             भीनेक
NYPD              एनवाईपीडी
Longboard         लोङबोर्ड
Surfer            सर्फर
PowerPoint        पावरपोइन्ट
Bruins            ब्रुइन्स
BEAUJOLAIS        ब्युजोले
Tshift            टीशिफ्ट
atv               एटीभी
DJing             डिजिङ
LCD               एलसीडी
Hors              होर्स
du                डु
temps             टेम्प्स
Gingham           गिङ्घम
apron             एप्रन
ATT               एटीटी
DMC               डिएमसी
Carnhart          कार्नहार्ट
pm                पिएम
Lumberjack        लम्बरज्याक
hollowedout       खोक्रिएको
pigtails          पिगटेल्स
DSW               डिएसडब्ल्यू
SXSWO             एसएक्सएसडब्ल्यूओ
SWAN              स्वान
ESPN              इएसपिएन
YumYumBowls       यमयम बाउल्स
LA                एलए
Quiznos           क्विज्नोस
NES               एनइएस
ukulele           उकुलेले
ERA               इआरए
KFC               केएफसी
CE                सिए
EC                इसी
Lynyrd            लिनर्ड
Skynyrd           स्किनर्ड
AAA               एएए
fuax              फक्स
GAP               ग्याप
RD                आरडी
USPS              युएसपिएस
TMobile           टीमोबाइल
Zales             जेल्स
Obamacondomscom   ओबामाकन्डम्सकम
Heineken          हाइनेकेन
TKTS              टीकेट्स
Aberdeen          एबर्डिन
worndown          घिसिएको
eReader           इरिडर
gyro              जाइरो
au                एयु
Levain            लेभेन
Dantan            डान्टान
Heal              हिल
sungalsses        सनग्लासेस
WinniethePooh     विनी द पू
agape             आगापे
Wth               डब्ल्यूटिएच
Entrada           एन्ट्राडा
fedora            फेदोरा
coed              कोएड
windtoys          विन्डटोय्स
starspangled      स्टारस्प्याङ्गल्ड
TGI               टीजीआई
USA               युएसए
pa                पिए
de                डे
Sabrett           साब्रेट
GNC               जिएनसी
ts                टिएस
sombreros         सोम्ब्रेरोस
modellike         मोडेल जस्तो
carousing         क्याराउजिङ
I                 आई
Love              लभ
New               न्यु
York              योर्क
BUA               बिएयुए
Furby             फर्बी
USMC              युएसएमसी
barbq             बार्बिक्यु
Carioca           कारियोका
DBS               डीबिएस
Seahawks          सिहक्स
GMA               जिएमए
kewpiedoll        क्युपी डल
Goctawek          गोक्तावेक
Walgreens         वालग्रिन्स
BRIGADA           ब्रिगाडा
SWATCH            स्वाच
Blvd              ब्ल्भ्ड
Honda             होन्डा
GIORGIO           जियोर्जियो
futon             फुटन
Nueske            नुएस्के
marionette        म्यारियोनेट
OR                ओआर
Gowned            गाउन्ड
BMXer             बिएमएक्सर
L                 एल
Vaggi             भ्यागी
espn              इएसपिएन
FIFA              फिफा
De                डे
Koninck           कोनिन्क
Hobophobia        होबोफोबिया
CYFD              सिएवाइएफडी
LOVE              लभ
Bronislaw         ब्रोनिस्लाव
Komorowski        कोमोरोव्स्की
MTA               एमटीए
THEFACESHOP       द फेस शप
SpongeBob         स्पन्जबब
SquarePants       स्क्वेयर प्यान्ट्स
nametag           नेमट्याग
pictureperfect    पिक्चर परफेक्ट
Tommy             टमी
Hilfiger          हिल्फिगर
CKI               सिएकेआई
amtrack           एमट्र्याक
ARRIVO            एरिभो
arrivo            एरिभो
GLAAD             जिएलएएडी
mariale           मारियाले
Zoey              जोइ
Dashnell          ड्यास्नेल
mh                एमएच
PS                पिएस
RVS               आरभीएस
Stormtrooper      स्टर्मट्रूपर
ijs               आइजेएस
vuvuzela          भुभुजेला
Hot               हट
Moviescom         मुभीजकम
Exxxotica         इएक्सएक्सएक्सोटिका
eXXXotica         इएक्सएक्सएक्सोटिका
CRAZI             क्राजी
Tye               टाइ
Graffiti          ग्राफिटी
th                टिएच
W                 डब्ल्यू
tshit             टीशर्ट
i                 आई
wok               वोक
DIO               डिओ
AID               एआईडी
shhing            श्श्श्
waling            वाकिङ
Laperla           लापेर्ला
squinting         स्क्विन्टिङ
Kaplans           कप्लान्स
Delicatessen      डेलिकाटेसेन
HO                एचओ
King              किङ
Jouez             जोएज
la                ला
carta             कार्टा
de                डे
frete             फ्रेट
Longchamp         लोङ्च्याम्प
mp                एमपी
crocs             क्रोक्स
Beachcomber       बिचकम्बर
Bienvenue         बिएनभेनु
newsreporter      न्युज रिपोर्टर
DAHLAK            डाहलाक
RayBan            रेबान
Infineon          इन्फिनियन
UHaul             युहल
hopscotch         हप्स्कच
Geospec           जिओस्पेक
LH                एलएच
snarling          स्नार्लिङ
Eden              इडेन
Groceries         ग्रोसेरिज
STAI              एसटीएआई
GUARDANO          गार्डानो
GRATIS            ग्राटिस
IL                आईएल
PAVITMENTO        पाभिटमेन्टो
PingPong          पिङपोङ
Wiggle            विगल
Wiggles           विगल्स
Arc               आर्क
TRiomphe          ट्रायम्फ
merrygoround      मेरीगोराउन्ड
SLR               एसएलआर
URKLE             अर्कल
birdseye          बर्ड्सआई
Tecate            टेकाटे
PROLOGy           प्रोलोगी
Wiccans           विकन्स
cgt               सिएजीटी
ambracom          एम्ब्राकम
tshirts           टीशर्ट्स
Yankees           यान्किज
Vsign             भी साइन
Palmettos         पाल्मेटोस
lyppens           लिप्पेन्स
Schipper          स्किपर
d                 डी
tv                टिभी
SONY              सोनी
NERF              नर्फ
G                 जी
uys               युज
Pee               पी
Wee               वी
MonsterBowl       मन्स्टर बाउल
UV                युभी
Tyrolean          टिरोलियन
tge               टीजी
iMac              आइम्याक
Cirque            सर्क
de                डे
Solei             सोलेई
v                 भी
WWII              डब्ल्यूडब्ल्यूआईआई
Segway            सेग्वे
UTOPIA            युटोपिया
Concords          कन्कर्ड्स
HIPOINTE          हिपोइन्ट
HiPointe          हिपोइन्ट
D                 डी
Clydesdales       क्लाइड्सडेल्स
Skirvin           स्किर्भिन
SVA               एसभीए
DVD               डिभिडी
AD                एडी
Q                 क्यु
sanding           स्यान्डिङ
cosplay           कस्प्ले
Violoncelli       भियोलोन्सेली
Lollapalooza      लोलापालूजा
Nintendos         निन्टेन्डोस
Goofy             गुफी
walmart           वालमार्ट
LED               एलइडी
Suecia            सुसिया
ISAF              आइएसएएफ
K                 के
saucers           ससर्स
RNLI              आरएनएलआई
Matador           म्याटाडर
B                 बी
AK                एके
Cariboos          क्यारिबुस
RONA              रोना
UEFA              युइएफए
Carcassonne       कार्कासोन
Sziget            स्जिगेट
TRex              टीरेक्स
iPod              आइपोड
Avril             एभ्रिल
Lavigne           लाभिग्ने
CCC               सिएससी
Whatcom           वाटकम
Warrior           वरियर
Goalie            गोली
Weezer            वीजर
smearing          स्मियरिङ
Respol            रेस्पोल
SkiDoos           स्कीडुस
Jetski            जेटस्की
SCUBA             स्कुबा
peewee            पीवी
NHL               एनएचएल
Galina            गालिना
Inga              इङ्गा
NFC               एनएफसी
Northworst        नर्थवर्स्ट
Minnesota         मिनेसोटा
Vikings           भाइकिङ्स
PRZEMEK           प्रजेमेक
Triathlete        ट्रायथ्लिट
Hawkeyes          हकीज
Jagermeister      ज्यागरमिस्टर
English           Nepali
Huppe             हुपे
QuiznosSubs       क्विज्नोस सब्स
Quiznos           क्विज्नोस
Subs              सब्स
Ipad              आइप्याड
Mavs              म्याभ्स
BMX               बिएमएक्स
BMXer             बिएमएक्सर
Gondoliers        गोन्डोलियर्स
d                 डी
Lafayette         लाफायेट
Penn              पेन
